id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7600386,"One Bed Apartment, Killlester, D5",39855966,Liam,,Dublin City,53.37672,-6.20058,Entire home/apt,50,4,4,2015-12-09,0.08,1,0
7600405,Beautiful seaside home,12601395,Faye,,Dn Laoghaire-Rathdown,53.28581,-6.10988,Entire home/apt,250,1,1,2015-08-09,0.02,1,0
7600607,DUBLIN HORSE SHOW 2 bed,5099028,Aoife,,Dn Laoghaire-Rathdown,53.30123,-6.19953,Entire home/apt,200,1,0,,,1,0
7609058,"Double bedroom beside Croke Park, airport and city",28208286,Aoibhin,,Dublin City,53.37461,-6.25245,Private room,250,2,8,2017-07-23,0.16,1,89
7609686,Attractive Central Terrace House,22834742,Rory,,Dublin City,53.33891,-6.228,Entire home/apt,100,3,3,2015-09-01,0.06,1,0
7616541,Lilac Cottage,39944971,Fidelma,,Dublin City,53.31515,-6.30768,Entire home/apt,58,2,162,2019-09-13,3.25,1,111
7619391,Double Room with Balcony,39962589,Massimo,,Dublin City,53.34935,-6.26614,Private room,47,1,11,2016-07-18,0.22,1,0
7624035,Comfortable 3 Bedroom House -Raheny,3979232,Bridget,,Dublin City,53.37571,-6.17742,Entire home/apt,130,3,24,2016-10-09,0.48,1,0
7624465,Guinness Factory 10 minutes away,39993847,Maciej,,Dublin City,53.33517,-6.28894,Entire home/apt,82,1,140,2018-09-28,3.34,1,0
7625212,Double/single/beside dublin airport,39999760,Susan,,Fingal,53.45382,-6.23202,Private room,30,1,65,2016-10-16,1.29,1,0
7626133,Good Location-Spacious Double Room,40004472,Aoife,,Dublin City,53.3642,-6.28412,Private room,55,1,9,2016-04-18,0.18,1,0
7630788,"❤️ Heart of the City- 5 Star Reviews, Temple Bar",262875,Paul & Debbie,,Dublin City,53.3473,-6.26222,Entire home/apt,149,2,60,2019-09-23,1.27,1,183
7631467,Rooftop Modern 1 Bedroom Duplex,40033690,Julien,,Dublin City,53.3385,-6.29097,Entire home/apt,148,7,32,2019-09-09,0.64,1,65
